kode,nama,kategori,harga,gambar,deskripsi
AQ1,Design Aqiqah 1 ply Dua sisi,Aqiqah,2.300,AQ1.jpg,"Undangan Super Ekonomis Bahan Brief Card Tik 
Minimal Order 300 Lembar 
Biaya Tambah Foto Chat Ke Admin ( Rp. 200 Perlembar ) 
Durasi Pengerjaan 3 - 7 Hari kerja Tergantung banyak nya antrian

Tahap Pemesanan / Cara Order 
1. Silahkan Pilih Dan SS Design yang di inginkan
2. Silahkan chat (wa) untuk meminta format data & mengisi data pernikahan. 
untuk denah lokasi, kakak gambar dan fotoin di kertas. (digambar apa adanya tidak apa2 gan, yang penting jelas & mudah dipahami). 
3. Kami akan proses undangan sesuai dengan antrian, lalu kami kirimkan hasil desainnya untuk di revisi.
4. Setelah proses koreksi / revisi undangan selesai, dan sudah di setujui untuk dicetak, kami akan mulai proses cetak. 
5. Setelah proses cetak, apabila ada kesalahan penulisan / desain di dalam undangan bukan tanggung jawab kami lagi, karena sudah proses koreksi dan ACC / setuju untuk dicetak sebelumnya.  Setelah Siap cetak Undangan akan langsung dikirim 

Bonus Yang Didapatkan :
Label nama 
Plastik Opp Undangan Kelipatan 100 lembar
Plastik Undangan Hanya Dikasi Kelipatan 100 Lembar, Jika Order 350 380 Maka Dikasih 300 Lembar
Denah & Barcode QR 
Kartu Ucapan Terimakasih Tanpa Nama 
Undangan Digital Video ( Min 300 Lembar )
Undangan Digital Video Tidak Bisa Req + Foto, Tema, Font, Lagu 
Packing Kardus & Plastik Wrapping Tahan Hujan 
Bisa Pakai Turut Mengundang 
Revisi Sampai fix / cetak 

Spesifikasi : 
Softcover Bahan : BRIEF CARD TIK 150 GSM Kertas Undangan tebal Halus, Tidak ada Berkelip, bahan permukaan polos sperti buku gambar/hvs.
Ukuran : 14.5 x 21.5 cm"
AQI 1,Design Aqiqah 1 ply Satu sisi,Aqiqah,1000,AQI 1.jpg,"Undangan Super Ekonomis Bahan Brief Card Tik 
Minimal Order 300 Lembar 
Biaya Tambah Foto Chat Ke Admin ( Rp. 200 Perlembar ) 
Durasi Pengerjaan 3 - 7 Hari kerja Tergantung banyak nya antrian

Tahap Pemesanan / Cara Order 
1. Silahkan Pilih Dan SS Design yang di inginkan
2. Silahkan chat (wa) untuk meminta format data & mengisi data pernikahan. 
untuk denah lokasi, kakak gambar dan fotoin di kertas. (digambar apa adanya tidak apa2 gan, yang penting jelas & mudah dipahami). 
3. Kami akan proses undangan sesuai dengan antrian, lalu kami kirimkan hasil desainnya untuk di revisi.
4. Setelah proses koreksi / revisi undangan selesai, dan sudah di setujui untuk dicetak, kami akan mulai proses cetak. 
5. Setelah proses cetak, apabila ada kesalahan penulisan / desain di dalam undangan bukan tanggung jawab kami lagi, karena sudah proses koreksi dan ACC / setuju untuk dicetak sebelumnya.  Setelah Siap cetak Undangan akan langsung dikirim 

Bonus Yang Didapatkan :
Label nama 
Plastik Opp Undangan Kelipatan 100 lembar
Plastik Undangan Hanya Dikasi Kelipatan 100 Lembar, Jika Order 350 380 Maka Dikasih 300 Lembar
Denah & Barcode QR 
Kartu Ucapan Terimakasih Tanpa Nama 
Undangan Digital Video ( Min 300 Lembar )
Undangan Digital Video Tidak Bisa Req + Foto, Tema, Font, Lagu 
Packing Kardus & Plastik Wrapping Tahan Hujan 
Bisa Pakai Turut Mengundang 
Revisi Sampai fix / cetak 

Spesifikasi : 
Softcover Bahan : BRIEF CARD TIK 150 GSM Kertas Undangan tebal Halus, Tidak ada Berkelip, bahan permukaan polos sperti buku gambar/hvs.
Ukuran : 14.5 x 21.5 cm"
AQI 2,Design Aqiqah 1 ply Satu sisi,Aqiqah,1000,AQI 2.jpg,"Undangan Super Ekonomis Bahan Brief Card Tik 
Minimal Order 300 Lembar 
Biaya Tambah Foto Chat Ke Admin ( Rp. 200 Perlembar ) 
Durasi Pengerjaan 3 - 7 Hari kerja Tergantung banyak nya antrian

Tahap Pemesanan / Cara Order 
1. Silahkan Pilih Dan SS Design yang di inginkan
2. Silahkan chat (wa) untuk meminta format data & mengisi data pernikahan. 
untuk denah lokasi, kakak gambar dan fotoin di kertas. (digambar apa adanya tidak apa2 gan, yang penting jelas & mudah dipahami). 
3. Kami akan proses undangan sesuai dengan antrian, lalu kami kirimkan hasil desainnya untuk di revisi.
4. Setelah proses koreksi / revisi undangan selesai, dan sudah di setujui untuk dicetak, kami akan mulai proses cetak. 
5. Setelah proses cetak, apabila ada kesalahan penulisan / desain di dalam undangan bukan tanggung jawab kami lagi, karena sudah proses koreksi dan ACC / setuju untuk dicetak sebelumnya.  Setelah Siap cetak Undangan akan langsung dikirim 

Bonus Yang Didapatkan :
Label nama 
Plastik Opp Undangan Kelipatan 100 lembar
Plastik Undangan Hanya Dikasi Kelipatan 100 Lembar, Jika Order 350 380 Maka Dikasih 300 Lembar
Denah & Barcode QR 
Kartu Ucapan Terimakasih Tanpa Nama 
Undangan Digital Video ( Min 300 Lembar )
Undangan Digital Video Tidak Bisa Req + Foto, Tema, Font, Lagu 
Packing Kardus & Plastik Wrapping Tahan Hujan 
Bisa Pakai Turut Mengundang 
Revisi Sampai fix / cetak 

Spesifikasi : 
Softcover Bahan : BRIEF CARD TIK 150 GSM Kertas Undangan tebal Halus, Tidak ada Berkelip, bahan permukaan polos sperti buku gambar/hvs.
Ukuran : 14.5 x 21.5 cm"
AQI 3,Design Aqiqah 1 ply Satu sisi,Aqiqah,1000,AQI 3.jpg,"Undangan Super Ekonomis Bahan Brief Card Tik 
Minimal Order 300 Lembar 
Biaya Tambah Foto Chat Ke Admin ( Rp. 200 Perlembar ) 
Durasi Pengerjaan 3 - 7 Hari kerja Tergantung banyak nya antrian

Tahap Pemesanan / Cara Order 
1. Silahkan Pilih Dan SS Design yang di inginkan
2. Silahkan chat (wa) untuk meminta format data & mengisi data pernikahan. 
untuk denah lokasi, kakak gambar dan fotoin di kertas. (digambar apa adanya tidak apa2 gan, yang penting jelas & mudah dipahami). 
3. Kami akan proses undangan sesuai dengan antrian, lalu kami kirimkan hasil desainnya untuk di revisi.
4. Setelah proses koreksi / revisi undangan selesai, dan sudah di setujui untuk dicetak, kami akan mulai proses cetak. 
5. Setelah proses cetak, apabila ada kesalahan penulisan / desain di dalam undangan bukan tanggung jawab kami lagi, karena sudah proses koreksi dan ACC / setuju untuk dicetak sebelumnya.  Setelah Siap cetak Undangan akan langsung dikirim 

Bonus Yang Didapatkan :
Label nama 
Plastik Opp Undangan Kelipatan 100 lembar
Plastik Undangan Hanya Dikasi Kelipatan 100 Lembar, Jika Order 350 380 Maka Dikasih 300 Lembar
Denah & Barcode QR 
Kartu Ucapan Terimakasih Tanpa Nama 
Undangan Digital Video ( Min 300 Lembar )
Undangan Digital Video Tidak Bisa Req + Foto, Tema, Font, Lagu 
Packing Kardus & Plastik Wrapping Tahan Hujan 
Bisa Pakai Turut Mengundang 
Revisi Sampai fix / cetak 

Spesifikasi : 
Softcover Bahan : BRIEF CARD TIK 150 GSM Kertas Undangan tebal Halus, Tidak ada Berkelip, bahan permukaan polos sperti buku gambar/hvs.
Ukuran : 14.5 x 21.5 cm"
AQI 4,Design Aqiqah 1 ply Satu sisi,Aqiqah,1000,AQI 4.jpg,"Undangan Super Ekonomis Bahan Brief Card Tik 
Minimal Order 300 Lembar 
Biaya Tambah Foto Chat Ke Admin ( Rp. 200 Perlembar ) 
Durasi Pengerjaan 3 - 7 Hari kerja Tergantung banyak nya antrian

Tahap Pemesanan / Cara Order 
1. Silahkan Pilih Dan SS Design yang di inginkan
2. Silahkan chat (wa) untuk meminta format data & mengisi data pernikahan. 
untuk denah lokasi, kakak gambar dan fotoin di kertas. (digambar apa adanya tidak apa2 gan, yang penting jelas & mudah dipahami). 
3. Kami akan proses undangan sesuai dengan antrian, lalu kami kirimkan hasil desainnya untuk di revisi.
4. Setelah proses koreksi / revisi undangan selesai, dan sudah di setujui untuk dicetak, kami akan mulai proses cetak. 
5. Setelah proses cetak, apabila ada kesalahan penulisan / desain di dalam undangan bukan tanggung jawab kami lagi, karena sudah proses koreksi dan ACC / setuju untuk dicetak sebelumnya.  Setelah Siap cetak Undangan akan langsung dikirim 

Bonus Yang Didapatkan :
Label nama 
Plastik Opp Undangan Kelipatan 100 lembar
Plastik Undangan Hanya Dikasi Kelipatan 100 Lembar, Jika Order 350 380 Maka Dikasih 300 Lembar
Denah & Barcode QR 
Kartu Ucapan Terimakasih Tanpa Nama 
Undangan Digital Video ( Min 300 Lembar )
Undangan Digital Video Tidak Bisa Req + Foto, Tema, Font, Lagu 
Packing Kardus & Plastik Wrapping Tahan Hujan 
Bisa Pakai Turut Mengundang 
Revisi Sampai fix / cetak 

Spesifikasi : 
Softcover Bahan : BRIEF CARD TIK 150 GSM Kertas Undangan tebal Halus, Tidak ada Berkelip, bahan permukaan polos sperti buku gambar/hvs.
Ukuran : 14.5 x 21.5 cm"
AQI 5,Design Aqiqah 1 ply Satu sisi,Aqiqah,1000,AQI 5.jpg,"Undangan Super Ekonomis Bahan Brief Card Tik 
Minimal Order 300 Lembar 
Biaya Tambah Foto Chat Ke Admin ( Rp. 200 Perlembar ) 
Durasi Pengerjaan 3 - 7 Hari kerja Tergantung banyak nya antrian

Tahap Pemesanan / Cara Order 
1. Silahkan Pilih Dan SS Design yang di inginkan
2. Silahkan chat (wa) untuk meminta format data & mengisi data pernikahan. 
untuk denah lokasi, kakak gambar dan fotoin di kertas. (digambar apa adanya tidak apa2 gan, yang penting jelas & mudah dipahami). 
3. Kami akan proses undangan sesuai dengan antrian, lalu kami kirimkan hasil desainnya untuk di revisi.
4. Setelah proses koreksi / revisi undangan selesai, dan sudah di setujui untuk dicetak, kami akan mulai proses cetak. 
5. Setelah proses cetak, apabila ada kesalahan penulisan / desain di dalam undangan bukan tanggung jawab kami lagi, karena sudah proses koreksi dan ACC / setuju untuk dicetak sebelumnya.  Setelah Siap cetak Undangan akan langsung dikirim 

Bonus Yang Didapatkan :
Label nama 
Plastik Opp Undangan Kelipatan 100 lembar
Plastik Undangan Hanya Dikasi Kelipatan 100 Lembar, Jika Order 350 380 Maka Dikasih 300 Lembar
Denah & Barcode QR 
Kartu Ucapan Terimakasih Tanpa Nama 
Undangan Digital Video ( Min 300 Lembar )
Undangan Digital Video Tidak Bisa Req + Foto, Tema, Font, Lagu 
Packing Kardus & Plastik Wrapping Tahan Hujan 
Bisa Pakai Turut Mengundang 
Revisi Sampai fix / cetak 

Spesifikasi : 
Softcover Bahan : BRIEF CARD TIK 150 GSM Kertas Undangan tebal Halus, Tidak ada Berkelip, bahan permukaan polos sperti buku gambar/hvs.
Ukuran : 14.5 x 21.5 cm"
AQI 6,Design Aqiqah 1 ply Satu sisi,Aqiqah,1000,AQI 6.jpg,"Undangan Super Ekonomis Bahan Brief Card Tik 
Minimal Order 300 Lembar 
Biaya Tambah Foto Chat Ke Admin ( Rp. 200 Perlembar ) 
Durasi Pengerjaan 3 - 7 Hari kerja Tergantung banyak nya antrian

Tahap Pemesanan / Cara Order 
1. Silahkan Pilih Dan SS Design yang di inginkan
2. Silahkan chat (wa) untuk meminta format data & mengisi data pernikahan. 
untuk denah lokasi, kakak gambar dan fotoin di kertas. (digambar apa adanya tidak apa2 gan, yang penting jelas & mudah dipahami). 
3. Kami akan proses undangan sesuai dengan antrian, lalu kami kirimkan hasil desainnya untuk di revisi.
4. Setelah proses koreksi / revisi undangan selesai, dan sudah di setujui untuk dicetak, kami akan mulai proses cetak. 
5. Setelah proses cetak, apabila ada kesalahan penulisan / desain di dalam undangan bukan tanggung jawab kami lagi, karena sudah proses koreksi dan ACC / setuju untuk dicetak sebelumnya.  Setelah Siap cetak Undangan akan langsung dikirim 

Bonus Yang Didapatkan :
Label nama 
Plastik Opp Undangan Kelipatan 100 lembar
Plastik Undangan Hanya Dikasi Kelipatan 100 Lembar, Jika Order 350 380 Maka Dikasih 300 Lembar
Denah & Barcode QR 
Kartu Ucapan Terimakasih Tanpa Nama 
Undangan Digital Video ( Min 300 Lembar )
Undangan Digital Video Tidak Bisa Req + Foto, Tema, Font, Lagu 
Packing Kardus & Plastik Wrapping Tahan Hujan 
Bisa Pakai Turut Mengundang 
Revisi Sampai fix / cetak 

Spesifikasi : 
Softcover Bahan : BRIEF CARD TIK 150 GSM Kertas Undangan tebal Halus, Tidak ada Berkelip, bahan permukaan polos sperti buku gambar/hvs.
Ukuran : 14.5 x 21.5 cm"
AQI 7,Design Aqiqah 1 ply Satu sisi,Aqiqah,1000,AQI 7.jpg,"Undangan Super Ekonomis Bahan Brief Card Tik 
Minimal Order 300 Lembar 
Biaya Tambah Foto Chat Ke Admin ( Rp. 200 Perlembar ) 
Durasi Pengerjaan 3 - 7 Hari kerja Tergantung banyak nya antrian

Tahap Pemesanan / Cara Order 
1. Silahkan Pilih Dan SS Design yang di inginkan
2. Silahkan chat (wa) untuk meminta format data & mengisi data pernikahan. 
untuk denah lokasi, kakak gambar dan fotoin di kertas. (digambar apa adanya tidak apa2 gan, yang penting jelas & mudah dipahami). 
3. Kami akan proses undangan sesuai dengan antrian, lalu kami kirimkan hasil desainnya untuk di revisi.
4. Setelah proses koreksi / revisi undangan selesai, dan sudah di setujui untuk dicetak, kami akan mulai proses cetak. 
5. Setelah proses cetak, apabila ada kesalahan penulisan / desain di dalam undangan bukan tanggung jawab kami lagi, karena sudah proses koreksi dan ACC / setuju untuk dicetak sebelumnya.  Setelah Siap cetak Undangan akan langsung dikirim 

Bonus Yang Didapatkan :
Label nama 
Plastik Opp Undangan Kelipatan 100 lembar
Plastik Undangan Hanya Dikasi Kelipatan 100 Lembar, Jika Order 350 380 Maka Dikasih 300 Lembar
Denah & Barcode QR 
Kartu Ucapan Terimakasih Tanpa Nama 
Undangan Digital Video ( Min 300 Lembar )
Undangan Digital Video Tidak Bisa Req + Foto, Tema, Font, Lagu 
Packing Kardus & Plastik Wrapping Tahan Hujan 
Bisa Pakai Turut Mengundang 
Revisi Sampai fix / cetak 

Spesifikasi : 
Softcover Bahan : BRIEF CARD TIK 150 GSM Kertas Undangan tebal Halus, Tidak ada Berkelip, bahan permukaan polos sperti buku gambar/hvs.
Ukuran : 14.5 x 21.5 cm"
AQI 8,Design Aqiqah 1 ply Satu sisi,Aqiqah,1000,AQI 8.jpg,"Undangan Super Ekonomis Bahan Brief Card Tik 
Minimal Order 300 Lembar 
Biaya Tambah Foto Chat Ke Admin ( Rp. 200 Perlembar ) 
Durasi Pengerjaan 3 - 7 Hari kerja Tergantung banyak nya antrian

Tahap Pemesanan / Cara Order 
1. Silahkan Pilih Dan SS Design yang di inginkan
2. Silahkan chat (wa) untuk meminta format data & mengisi data pernikahan. 
untuk denah lokasi, kakak gambar dan fotoin di kertas. (digambar apa adanya tidak apa2 gan, yang penting jelas & mudah dipahami). 
3. Kami akan proses undangan sesuai dengan antrian, lalu kami kirimkan hasil desainnya untuk di revisi.
4. Setelah proses koreksi / revisi undangan selesai, dan sudah di setujui untuk dicetak, kami akan mulai proses cetak. 
5. Setelah proses cetak, apabila ada kesalahan penulisan / desain di dalam undangan bukan tanggung jawab kami lagi, karena sudah proses koreksi dan ACC / setuju untuk dicetak sebelumnya.  Setelah Siap cetak Undangan akan langsung dikirim 

Bonus Yang Didapatkan :
Label nama 
Plastik Opp Undangan Kelipatan 100 lembar
Plastik Undangan Hanya Dikasi Kelipatan 100 Lembar, Jika Order 350 380 Maka Dikasih 300 Lembar
Denah & Barcode QR 
Kartu Ucapan Terimakasih Tanpa Nama 
Undangan Digital Video ( Min 300 Lembar )
Undangan Digital Video Tidak Bisa Req + Foto, Tema, Font, Lagu 
Packing Kardus & Plastik Wrapping Tahan Hujan 
Bisa Pakai Turut Mengundang 
Revisi Sampai fix / cetak 

Spesifikasi : 
Softcover Bahan : BRIEF CARD TIK 150 GSM Kertas Undangan tebal Halus, Tidak ada Berkelip, bahan permukaan polos sperti buku gambar/hvs.
Ukuran : 14.5 x 21.5 cm"
AQI 9,Design Aqiqah 1 ply Satu sisi,Aqiqah,1000,AQI 9.jpg,"Undangan Super Ekonomis Bahan Brief Card Tik 
Minimal Order 300 Lembar 
Biaya Tambah Foto Chat Ke Admin ( Rp. 200 Perlembar ) 
Durasi Pengerjaan 3 - 7 Hari kerja Tergantung banyak nya antrian

Tahap Pemesanan / Cara Order 
1. Silahkan Pilih Dan SS Design yang di inginkan
2. Silahkan chat (wa) untuk meminta format data & mengisi data pernikahan. 
untuk denah lokasi, kakak gambar dan fotoin di kertas. (digambar apa adanya tidak apa2 gan, yang penting jelas & mudah dipahami). 
3. Kami akan proses undangan sesuai dengan antrian, lalu kami kirimkan hasil desainnya untuk di revisi.
4. Setelah proses koreksi / revisi undangan selesai, dan sudah di setujui untuk dicetak, kami akan mulai proses cetak. 
5. Setelah proses cetak, apabila ada kesalahan penulisan / desain di dalam undangan bukan tanggung jawab kami lagi, karena sudah proses koreksi dan ACC / setuju untuk dicetak sebelumnya.  Setelah Siap cetak Undangan akan langsung dikirim 

Bonus Yang Didapatkan :
Label nama 
Plastik Opp Undangan Kelipatan 100 lembar
Plastik Undangan Hanya Dikasi Kelipatan 100 Lembar, Jika Order 350 380 Maka Dikasih 300 Lembar
Denah & Barcode QR 
Kartu Ucapan Terimakasih Tanpa Nama 
Undangan Digital Video ( Min 300 Lembar )
Undangan Digital Video Tidak Bisa Req + Foto, Tema, Font, Lagu 
Packing Kardus & Plastik Wrapping Tahan Hujan 
Bisa Pakai Turut Mengundang 
Revisi Sampai fix / cetak 

Spesifikasi : 
Softcover Bahan : BRIEF CARD TIK 150 GSM Kertas Undangan tebal Halus, Tidak ada Berkelip, bahan permukaan polos sperti buku gambar/hvs.
Ukuran : 14.5 x 21.5 cm"
